nodo_partenza,nodo_arrivo,peso_arco
0,1,37
0,5,31
0,6,14
0,7,44
0,8,3
0,9,8
0,12,2
0,14,27
0,16,42
0,18,13
0,20,46
0,22,36
0,26,11
0,27,17
0,28,33
0,29,12
0,30,32
0,31,31
0,32,16
0,35,48
0,39,39
0,41,46
0,43,17
0,44,23
0,46,28
0,47,35
0,49,27
0,50,35
0,53,19
0,54,31
0,55,29
0,57,9
0,59,49
0,61,3
0,66,27
0,68,33
0,69,11
0,72,2
0,73,38
0,74,24
0,75,3
0,77,40
0,78,33
0,80,49
0,83,2
0,86,48
0,87,44
0,88,41
0,89,3
0,90,46
0,92,21
0,93,38
0,95,1
0,99,9
0,101,36
0,103,25
0,104,9
0,106,28
0,107,32
0,108,20
0,109,36
0,114,18
0,119,22
0,120,36
0,127,6
0,129,3
0,131,10
0,132,28
0,133,38
0,134,30
0,137,24
0,140,21
0,143,46
0,145,35
0,146,25
0,148,20
0,149,21
0,156,50
0,157,8
0,159,29
0,166,15
0,167,32
0,168,34
0,171,22
0,172,34
0,175,16
0,176,22
0,181,4
0,183,48
0,184,32
0,187,30
0,189,34
0,190,42
0,192,3
0,193,5
0,194,34
0,196,11
0,201,26
0,203,19
0,206,37
0,207,1
0,208,36
0,209,7
0,210,26
0,211,27
0,214,12
0,217,11
0,219,14
0,220,44
0,221,17
0,223,14
0,224,48
0,225,22
0,226,3
0,227,7
0,228,35
0,229,4
0,230,14
0,231,37
0,233,6
0,234,49
0,235,14
0,236,4
0,237,2
0,239,5
0,243,15
0,244,2
0,245,11
0,246,14
0,247,10
1,2,34
1,3,15
1,4,3
1,5,23
1,6,47
1,9,33
1,12,14
1,13,22
1,15,35
1,16,29
1,17,36
1,18,50
1,20,50
1,22,34
1,25,43
1,26,50
1,27,31
1,29,33
1,30,17
1,31,18
1,32,42
1,34,34
1,37,43
1,38,6
1,39,4
1,40,15
1,43,37
1,44,45
1,45,32
1,46,40
1,49,49
1,52,5
1,53,28
1,58,5
1,59,1
1,60,28
1,62,24
1,64,37
1,65,26
1,67,22
1,68,32
1,73,40
1,74,47
1,75,21
1,76,4
1,79,29
1,82,1
1,86,7
1,89,13
1,90,36
1,91,36
1,95,4
1,97,15
1,98,7
1,99,27
1,101,28
1,102,8
1,103,26
1,105,30
1,108,35
1,111,43
1,112,2
1,113,35
1,114,21
1,115,49
1,116,13
1,117,39
1,119,46
1,121,49
1,122,19
1,123,48
1,124,8
1,126,30
1,127,38
1,128,30
1,129,5
1,132,1
1,133,40
1,141,6
1,142,8
1,144,44
1,148,23
1,150,48
1,151,45
1,156,15
1,157,23
1,159,49
1,160,14
1,161,16
1,166,38
1,167,21
1,169,35
1,173,26
1,176,3
1,183,5
1,191,8
1,192,2
1,193,45
1,195,8
1,196,11
1,197,46
1,198,35
1,199,46
1,201,33
1,202,43
1,203,37
1,204,11
