nodo_partenza,nodo_arrivo,peso_arco
0,46,44
0,74,7
0,81,46
0,111,13
0,119,43
0,121,34
0,125,27
0,131,23
0,186,44
0,189,25
0,204,39
0,211,22
0,214,48
0,221,7
0,224,29
0,227,36
0,240,42
0,262,30
0,280,2
0,281,37
0,312,14
0,317,32
0,333,39
0,337,2
0,350,38
0,365,3
0,370,48
0,375,15
0,386,28
0,394,41
0,406,7
0,412,40
0,425,11
0,456,40
0,471,42
0,495,2
0,503,50
0,518,22
0,533,21
0,553,18
0,554,43
0,559,12
0,582,26
0,597,7
0,598,33
0,599,50
0,609,6
0,610,36
0,623,9
0,626,41
0,637,6
0,660,9
0,667,40
0,676,20
0,693,13
0,699,15
0,708,45
0,716,50
0,742,11
0,750,39
0,756,30
0,760,50
0,764,45
0,783,48
0,797,14
0,799,13
0,831,17
0,848,32
0,880,27
0,881,32
0,887,36
0,891,47
0,894,22
0,898,9
0,904,27
0,917,48
0,924,19
0,959,7
0,963,22
0,966,7
0,981,40
0,998,16
1,0,13
1,5,10
1,30,31
1,31,8
1,35,19
1,37,37
1,40,16
1,63,46
1,76,39
1,79,15
1,80,34
1,83,23
1,84,49
1,85,50
1,88,35
1,89,35
1,146,20
1,191,23
1,196,48
1,197,41
1,221,34
1,238,25
1,244,47
1,248,19
1,267,12
1,271,32
1,282,50
1,283,42
1,298,50
1,318,35
1,319,36
1,328,45
1,348,15
1,353,36
1,354,10
1,358,37
1,362,50
1,363,31
1,368,32
1,373,5
1,378,5
1,380,27
1,393,5
1,412,2
1,426,6
1,456,24
1,457,25
1,475,5
1,507,33
1,511,9
1,514,10
1,519,3
1,520,9
1,534,19
1,550,5
1,554,33
1,558,13
1,559,43
1,561,10
1,565,24
1,576,2
1,587,3
1,590,12
1,594,38
1,614,49
1,617,27
1,625,32
1,629,18
1,631,40
1,654,32
1,671,35
1,679,18
1,694,34
1,698,47
1,703,7
1,705,28
1,710,11
1,719,38
1,725,8
1,726,29
1,731,20
1,741,14
1,785,8
1,795,43
1,796,2
1,801,15
1,813,37
1,818,31
1,833,47
1,859,13
1,874,14
1,889,17
1,908,50
1,912,34
1,926,2
1,933,36
1,935,4
1,938,37
1,949,25
1,950,46
1,980,30
2,21,25
2,27,4
2,45,49
2,47,41
2,54,3
2,59,31
2,66,48
2,76,25
2,78,28
2,85,19
2,97,34
2,112,22
2,113,13
2,122,48
2,131,45
2,145,34
2,189,33
2,223,25
2,228,39
2,253,29
2,262,49
2,264,44
2,265,24
2,278,17
2,298,34
2,307,17
2,373,40
2,374,46
2,396,15
2,403,11
2,416,30
2,426,18
2,439,30
2,466,6
2,498,24
2,502,45
2,529,23
2,535,49
2,540,29
2,559,35
2,564,29
2,565,8
2,566,42
2,569,31
2,578,49
2,588,26
2,593,12
2,602,10
2,615,11
2,621,23
2,623,50
2,631,50
2,642,18
2,643,35
2,667,15
2,690,41
2,695,4
2,697,27
2,710,28
2,743,44
2,750,31
2,755,44
2,760,11
2,772,43
2,796,25
2,810,24
2,811,23
2,812,12
2,813,22
2,837,41
2,856,42
2,858,12
2,862,12
2,868,1
2,871,24
2,876,25
2,877,13
2,878,16
2,892,10
2,904,27
2,905,3
2,923,4
2,940,29
2,949,23
2,953,46
2,961,11
2,975,20
2,997,2
3,18,41
3,58,14
3,67,21
3,72,50
3,103,31
3,111,16
3,115,13
3,139,44
3,145,15
3,167,20
3,170,39
3,176,25
3,185,39
3,197,28
3,204,7
3,206,28
3,209,15
3,214,49
3,216,14
3,219,50
3,240,38
3,247,48
3,253,32
3,263,2
3,275,12
3,298,50
3,304,1
3,320,2
3,328,4
3,340,25
3,369,8
3,389,35
3,391,6
3,418,15
3,422,41
3,432,21
3,441,5
3,451,6
3,452,21
3,454,24
3,480,2
3,481,29
3,512,18
3,519,31
3,524,37
3,558,5
3,587,48
3,594,31
3,619,39
3,630,41
3,634,20
3,638,49
3,648,42
3,657,41
3,669,34
3,677,3
3,714,40
3,727,30
3,753,37
3,756,11
3,786,31
3,789,7
3,790,38
3,799,5
3,801,10
3,811,2
3,814,37
3,824,47
3,830,44
3,831,28
3,833,25
3,850,25
3,863,43
3,864,41
3,885,9
3,890,7
3,893,29
3,895,4
3,898,1
3,913,18
3,917,2
3,933,34
3,942,1
3,944,12
3,954,34
3,973,21
3,976,7
3,983,23
3,992,8
3,993,44
4,6,9
4,13,44
4,20,39
4,28,41
4,64,22
4,86,13
4,88,1
4,96,12
4,111,12
4,119,28
4,124,40
4,125,36
4,141,50
4,154,43
4,173,43
4,176,50
4,208,48
4,225,20
4,232,16
4,239,35
4,272,2
4,281,37
4,287,34
4,302,49
4,313,15
4,342,42
4,346,44
4,354,10
4,361,49
4,364,42
4,372,17
4,374,25
4,391,22
4,402,35
4,406,43
4,409,31
4,410,8
4,417,43
4,418,15
4,437,8
4,440,31
4,446,9
4,452,13
4,479,4
4,494,37
4,504,8
4,516,41
4,517,45
4,531,41
4,536,9
4,539,18
4,540,23
4,543,20
4,547,19
4,560,29
4,588,7
4,592,35
4,597,24
4,600,20
4,616,32
4,629,10
4,634,1
4,636,21
4,648,30
4,654,25
4,657,47
4,671,6
4,679,17
4,680,22
4,685,5
4,690,12
4,701,23
