nodo_partenza,nodo_arrivo,peso_arco
0,1,19
1,2,32
2,3,24
3,4,31
4,5,4
5,6,2
6,7,6
7,8,38
8,9,39
9,10,50
10,11,36
11,12,12
12,13,16
13,14,26
14,15,29
15,16,37
16,17,4
17,18,6
18,19,43
19,20,42
20,21,2
21,22,5
22,23,6
23,24,1
24,25,35
25,26,38
26,27,2
27,28,7
28,29,32
29,30,5
30,31,43
31,32,49
32,33,38
33,34,39
34,35,27
35,36,7
36,37,4
37,38,9
38,39,20
39,40,10
40,41,2
41,42,1
42,43,5
43,44,45
44,45,48
45,46,49
46,47,38
47,48,27
48,49,21
49,50,42
50,51,46
51,52,47
52,53,48
53,54,49
54,55,50
55,56,32
56,57,5
57,58,32
58,59,45
59,60,43
