nodo_partenza,nodo_arrivo,peso_arco
0,1,13
1,2,17
2,3,31
3,4,1
4,5,5
5,6,15
6,7,18
7,8,4
8,9,49
9,10,11
10,11,9
11,12,42
12,13,4
13,14,46
14,15,11
15,16,32
16,17,45
17,18,47
18,19,12
19,20,28
20,21,38
21,22,22
22,23,45
23,24,39
24,25,8
25,26,26
26,27,46
27,28,10
28,29,17
29,30,35
30,31,32
31,32,48
32,33,34
33,34,28
34,35,17
35,36,31
36,37,28
37,38,20
38,39,22
39,40,47
40,41,44
41,42,25
42,43,1
43,44,41
44,45,15
45,46,20
46,47,1
47,48,31
48,49,14
49,50,15
50,51,31
51,52,29
52,53,44
53,54,37
54,55,21
55,56,40
56,57,1
57,58,18
58,59,17
59,60,32
60,61,19
61,62,19
62,63,31
63,64,19
64,65,26
65,66,7
66,67,25
67,68,38
68,69,4
69,70,32
70,71,29
71,72,26
72,73,43
73,74,28
74,75,45
75,76,15
76,77,3
77,78,46
78,79,12
79,80,4
80,81,17
81,82,18
82,83,19
83,84,16
84,85,27
85,86,23
86,87,2
87,88,45
88,89,49
89,90,13
90,91,21
91,92,17
92,93,4
93,94,30
94,95,7
95,96,9
96,97,30
97,98,32
98,99,15
99,100,31
100,101,1
101,102,43
102,103,16
103,104,7
104,105,32
105,106,7
106,107,13
107,108,14
108,109,43
109,110,14
110,111,16
111,112,32
112,113,12
113,114,17
114,115,24
115,116,14
116,117,6
117,118,42
118,119,28
119,120,24
120,121,19
121,122,35
122,123,9
123,124,21
124,125,9
125,126,38
126,127,19
127,128,24
128,129,31
129,130,39
130,131,25
131,132,44
132,133,44
133,134,37
134,135,44
135,136,15
136,137,29
137,138,11
138,139,25
139,140,25
140,141,35
141,142,12
142,143,38
143,144,35
144,145,30
145,146,15
146,147,9
147,148,36
148,149,1
149,150,2
150,151,37
151,152,30
152,153,32
153,154,45
154,155,49
155,156,36
156,157,46
157,158,26
158,159,11
159,160,2
160,161,12
161,162,9
162,163,9
163,164,29
164,165,25
165,166,19
166,167,25
167,168,49
168,169,33
169,170,47
170,171,3
171,172,36
172,173,16
173,174,17
174,175,46
175,176,7
176,177,24
177,178,38
178,179,4
179,180,23
180,181,12
181,182,50
182,183,32
183,184,8
184,185,45
185,186,9
186,187,14
187,188,13
188,189,11
189,190,17
190,191,49
191,192,41
192,193,17
193,194,31
194,195,4
195,196,32
196,197,37
197,198,33
198,199,30
199,200,12
200,201,22
201,202,37
202,203,25
203,204,30
204,205,39
205,206,45
206,207,30
207,208,1
208,209,43
209,210,37
210,211,50
211,212,8
212,213,49
213,214,13
214,215,44
215,216,19
216,217,3
217,218,49
218,219,36
219,220,3
220,221,7
221,222,47
222,223,20
223,224,31
224,225,21
225,226,44
226,227,22
227,228,27
228,229,22
229,230,3
230,231,24
231,232,45
232,233,44
233,234,2
234,235,13
235,236,36
236,237,19
237,238,14
238,239,50
239,240,35
240,241,20
241,242,9
242,243,25
243,244,49
244,245,46
245,246,35
246,247,26
247,248,34
248,249,15
249,250,20
250,251,6
251,252,15
252,253,4
253,254,50
254,255,23
255,256,47
256,257,2
257,258,33
258,259,31
259,260,9
260,261,39
261,262,49
262,263,17
263,264,42
264,265,11
265,266,37
266,267,32
267,268,7
268,269,42
269,270,24
270,271,39
271,272,8
272,273,24
273,274,23
274,275,44
275,276,46
276,277,26
277,278,14
278,279,30
279,280,7
280,281,8
281,282,38
282,283,48
283,284,42
284,285,4
285,286,48
286,287,19
287,288,49
288,289,49
289,290,2
290,291,37
291,292,17
292,293,49
293,294,43
294,295,37
295,296,31
296,297,46
297,298,4
298,299,8
299,300,25
300,301,20
301,302,17
302,303,38
303,304,12
304,305,41
305,306,45
306,307,21
307,308,12
308,309,18
309,310,4
310,311,50
311,312,29
312,313,43
313,314,48
314,315,12
315,316,21
316,317,3
317,318,4
318,319,9
319,320,14
320,321,41
321,322,6
322,323,32
323,324,3
324,325,36
