nodo_partenza,nodo_arrivo,peso_arco
30,1412,31
30,3352,8
30,5254,18
30,5543,2
30,7478,40
3,28,25
3,30,5
3,39,50
3,54,34
3,108,25
3,152,30
3,178,19
3,182,45
3,214,10
3,271,37
3,286,29
3,300,18
3,348,23
3,349,42
3,371,22
3,567,34
3,581,31
3,584,39
3,586,12
3,590,44
3,604,34
3,611,50
3,8283,28
25,3,26
25,6,31
25,8,25
25,19,19
25,23,32
25,28,50
25,29,8
25,30,26
25,33,38
25,35,34
25,50,37
25,54,31
25,55,8
25,75,47
25,80,12
25,86,7
25,94,1
25,127,4
25,152,23
25,154,35
25,182,31
25,192,15
25,214,30
25,224,19
25,226,47
25,246,29
25,252,30
25,255,7
25,257,17
25,261,15
25,271,26
25,273,17
25,280,39
25,282,31
25,286,17
25,299,37
25,300,27
25,302,4
25,306,16
25,308,37
25,310,35
25,322,7
25,325,11
25,339,19
25,348,29
25,349,37
25,356,29
25,358,46
25,363,23
25,370,22
25,371,16
25,373,33
25,377,17
25,379,3
25,407,38
25,415,5
25,422,29
25,428,25
25,439,26
25,488,7
25,514,13
25,545,18
25,549,32
25,560,43
25,590,20
25,592,15
25,600,7
25,604,26
25,611,28
25,645,7
25,650,39
25,659,6
25,664,20
25,667,38
25,673,6
25,675,10
25,696,28
25,706,9
25,723,30
25,739,8
25,756,11
25,857,22
25,864,35
25,893,31
25,959,30
25,994,8
25,1131,6
25,3755,24
25,8282,29
25,8284,37
4,8,18
4,10,2
4,28,26
4,30,33
4,38,46
4,55,6
4,56,42
4,75,12
4,130,9
4,140,12
4,147,42
4,151,49
4,152,40
4,214,19
4,232,40
4,243,17
4,282,19
4,299,13
4,341,15
4,363,6
4,370,31
4,415,49
4,560,12
4,606,32
4,611,16
4,645,42
4,650,16
4,659,12
4,8282,33
5,6,13
5,8,1
5,10,35
5,23,5
5,30,45
5,33,31
5,38,35
5,50,34
5,54,4
5,55,28
5,61,40
5,75,9
5,89,14
5,93,12
5,127,12
5,130,41
5,147,49
5,153,16
5,163,44
5,167,14
5,168,26
5,175,42
5,299,39
6,3,45
6,8,40
6,10,11
6,19,49
6,23,23
6,28,3
6,29,6
6,30,21
6,33,22
6,34,49
6,35,47
6,38,12
6,39,5
6,50,10
6,54,10
6,55,39
6,56,8
6,61,1
6,80,4
6,86,6
6,89,26
6,93,4
6,94,42
6,127,24
6,130,41
6,132,46
6,135,37
6,140,47
6,147,49
6,151,20
6,153,23
6,154,13
6,163,16
6,167,36
6,168,13
6,171,16
6,175,35
6,178,40
6,182,29
6,183,19
6,216,1
6,219,47
6,226,45
6,227,2
6,228,10
6,232,44
6,236,42
6,243,46
6,250,31
6,252,25
6,257,30
6,258,34
6,259,20
6,261,29
6,271,1
6,273,34
6,274,27
6,280,43
6,285,42
6,286,7
6,290,28
6,298,47
6,299,37
6,300,12
6,301,20
6,304,37
6,306,13
6,317,47
6,319,35
6,322,31
6,325,6
6,339,2
6,348,10
6,349,20
6,356,44
6,358,49
6,359,20
6,362,2
6,363,26
6,370,43
6,371,4
6,373,45
6,377,21
6,378,34
6,379,50
6,390,5
6,391,38
6,392,9
6,394,50
6,396,19
6,402,6
6,405,49
6,406,20
6,407,27
6,415,2
6,421,31
6,422,37
6,427,17
6,428,22
6,431,5
6,432,44
6,433,33
6,435,43
6,439,30
6,440,37
6,447,25
6,538,3
6,545,39
6,549,31
6,560,1
6,564,17
6,566,37
6,567,32
6,579,15
6,581,38
6,584,46
6,586,30
6,589,49
6,590,50
6,592,32
6,600,8
6,604,3
6,609,2
6,611,2
6,613,37
6,616,7
6,617,48
6,619,39
6,643,10
6,656,14
6,659,20
6,665,10
6,668,50
6,673,13
6,691,30
6,694,13
6,700,18
6,704,8
6,717,7
6,723,11
6,730,6
6,733,33
6,739,17
6,741,49
6,761,10
6,765,15
6,779,33
6,789,3
6,791,41
6,798,12
6,802,47
6,813,28
6,820,2
6,826,16
6,857,28
6,863,38
6,871,18
6,881,49
6,885,12
6,893,14
6,895,33
6,897,29
6,904,13
6,906,14
6,907,25
6,913,9
6,922,42
6,932,40
6,936,48
6,955,2
6,960,11
6,963,34
6,966,48
6,971,37
6,972,46
6,978,36
6,979,28
6,983,15
6,991,20
6,993,43
6,995,47
6,1007,33
6,1014,11
6,1022,18
6,1026,22
6,1032,21
6,1035,38
6,1043,8
6,1055,33
6,1062,3
6,1125,33
6,1144,17
6,1152,10
6,1156,11
6,1160,15
6,1167,23
6,1168,32
6,1218,41
6,1220,8
6,1221,48
6,1222,45
6,1234,23
6,1241,35
6,1248,38
6,1253,32
6,1261,35
6,1297,45
6,1321,20
6,1326,9
6,1377,49
6,1389,38
6,1390,18
6,1394,31
6,1396,42
6,1428,11
6,1439,6
6,1441,18
6,1442,4
6,1446,41
6,1453,7
6,1464,20
6,1465,37
6,1468,28
6,1471,24
6,1472,33
6,1476,22
6,1478,35
6,1484,17
6,1485,12
6,1487,34
6,1489,18
6,1490,45
6,1497,45
6,1501,11
6,1506,32
6,1507,30
6,1513,10
6,1514,25
6,1518,32
6,1524,16
6,1525,21
6,1531,39
6,1532,13
6,1533,24
6,1538,13
6,1549,14
6,1555,42
6,1556,49
6,1557,31
6,1563,6
6,1569,17
6,1573,45
6,1587,1
6,1597,42
6,1610,44
6,1619,46
6,1641,10
6,1648,3
6,1652,37
6,1654,8
6,1657,4
6,1662,21
6,1669,43
6,1679,18
6,1689,25
6,1692,14
6,1701,34
6,1716,35
6,1718,6
6,1752,31
6,1758,45
