nodo_partenza,nodo_arrivo,peso_arco
0,1,20
0,2,41
0,3,18
0,4,14
0,5,3
0,6,34
0,7,43
0,8,36
0,9,22
0,10,40
0,11,28
0,12,27
0,13,23
0,14,11
0,15,38
0,16,2
0,17,29
0,18,28
0,19,42
0,20,48
0,21,10
0,22,6
0,23,13
0,24,40
0,25,14
0,26,11
0,27,26
0,28,18
0,29,47
0,30,25
0,31,41
0,32,2
0,33,47
0,34,38
0,35,46
0,36,40
0,37,37
0,38,1
0,39,1
0,40,20
0,41,30
0,42,1
0,43,33
0,44,32
0,45,6
0,46,40
0,47,47
0,48,45
0,49,30
0,50,41
0,51,12
0,52,27
0,53,2
0,54,36
0,55,43
0,56,41
0,57,22
0,58,49
0,59,19
0,60,26
0,61,46
0,62,40
0,63,16
0,64,18
0,65,40
0,66,4
0,67,3
0,68,18
0,69,2
0,70,10
0,71,40
0,72,25
0,73,18
0,74,35
0,75,25
0,76,24
0,77,39
0,78,32
0,79,50
0,80,26
0,81,6
0,82,40
0,83,33
0,84,40
0,85,27
0,86,6
0,87,7
0,88,29
0,89,6
0,90,47
0,91,6
0,92,38
0,93,19
0,94,34
0,95,20
0,96,34
0,97,41
0,98,44
0,99,47
0,100,5
0,101,21
0,102,19
0,103,1
0,104,13
0,105,2
0,106,35
0,107,12
0,108,5
0,109,22
0,110,42
0,111,8
0,112,3
0,113,4
0,114,3
0,115,12
0,116,9
0,117,1
0,118,13
0,119,17
0,120,21
0,121,14
0,122,21
0,123,35
0,124,30
0,125,39
0,126,45
0,127,42
0,128,1
0,129,27
0,130,5
0,131,37
0,132,37
0,133,22
0,134,24
0,135,43
0,136,24
0,137,20
0,138,8
0,139,1
0,140,37
0,141,17
0,142,48
0,143,6
0,144,41
0,145,26
0,146,47
0,147,42
0,148,50
0,149,43
0,150,26
0,151,22
0,152,25
0,153,42
0,154,17
0,155,47
0,156,14
0,157,1
0,158,28
0,159,44
0,160,16
0,161,44
0,162,32
0,163,31
0,164,17
0,165,22
0,166,9
0,167,47
0,168,44
0,169,41
0,170,18
0,171,30
0,172,42
0,173,35
0,174,33
0,175,36
0,176,21
0,177,27
0,178,9
0,179,14
0,180,2
0,181,42
0,182,20
0,183,21
0,184,1
0,185,48
0,186,42
0,187,41
0,188,22
0,189,17
0,190,7
0,191,23
0,192,21
0,193,15
0,194,19
0,195,1
0,196,45
0,197,42
0,198,45
0,199,42
0,200,31
0,201,26
0,202,48
0,203,17
0,204,45
0,205,50
0,206,44
0,207,40
0,208,13
0,209,25
0,210,18
0,211,16
0,212,30
0,213,10
0,214,22
0,215,46
0,216,50
0,217,48
0,218,42
0,219,38
0,220,36
0,221,17
0,222,49
0,223,26
0,224,27
0,225,9
0,226,12
0,227,8
0,228,4
0,229,49
0,230,14
0,231,11
0,232,6
0,233,2
0,234,14
0,235,47
0,236,42
0,237,36
0,238,19
0,239,48
0,240,33
0,241,30
0,242,24
0,243,46
0,244,22
0,245,4
0,246,39
0,247,48
0,248,43
0,249,8
0,250,38
0,251,45
0,252,17
0,253,37
0,254,6
0,255,29
0,256,22
0,257,11
0,258,21
0,259,40
0,260,26
0,261,12
0,262,47
0,263,38
0,264,2
0,265,20
0,266,15
0,267,21
0,268,19
0,269,17
0,270,3
0,271,39
0,272,22
0,273,42
0,274,10
0,275,17
0,276,31
0,277,44
0,278,32
0,279,12
0,280,34
0,281,11
0,282,46
0,283,23
0,284,4
0,285,4
0,286,45
0,287,4
0,288,14
0,289,47
0,290,6
0,291,6
0,292,41
0,293,7
0,294,32
0,295,13
0,296,45
0,297,34
0,298,48
0,299,47
0,300,48
0,301,5
0,302,11
0,303,46
0,304,3
0,305,7
0,306,24
0,307,39
0,308,35
0,309,49
0,310,37
0,311,3
0,312,22
0,313,11
0,314,39
0,315,4
0,316,30
0,317,24
0,318,35
0,319,6
0,320,20
0,321,17
0,322,31
0,323,44
0,324,11
0,325,31
0,326,38
0,327,34
0,328,43
0,329,26
0,330,19
0,331,20
0,332,25
0,333,45
0,334,28
0,335,45
0,336,4
0,337,7
0,338,13
0,339,6
0,340,2
0,341,48
0,342,38
0,343,10
0,344,38
0,345,28
0,346,26
0,347,25
1,48,15
1,53,3
1,54,17
1,73,21
1,88,2
1,92,44
1,119,16
1,126,41
1,133,8
1,194,18
1,236,21
1,280,15
1,299,30
1,315,3
1,322,40
1,346,10
2,20,14
2,115,32
2,116,6
2,149,42
2,226,4
2,312,39
2,326,37
2,333,41
2,343,44
3,9,37
3,25,16
3,26,6
3,67,11
3,72,18
3,85,36
