nodo_partenza,nodo_arrivo,peso_arco
0,1,14
0,2,7
0,3,48
0,4,17
0,5,10
0,6,20
0,7,38
0,8,44
0,9,50
0,10,48
0,11,28
0,12,40
0,13,27
0,14,31
0,15,19
0,16,50
0,17,14
0,18,37
0,19,4
0,20,29
0,21,42
0,22,11
0,23,29
0,24,49
0,25,22
0,26,12
0,27,28
0,28,48
0,29,25
0,30,20
0,31,30
0,32,26
0,33,8
0,34,2
0,35,1
0,36,49
0,37,31
0,38,43
0,39,10
0,40,48
0,41,3
0,42,24
0,43,23
0,44,25
0,45,15
0,46,22
0,47,22
0,48,41
0,49,29
0,50,14
0,51,20
0,52,46
0,53,11
0,54,36
0,55,47
0,56,50
0,57,48
0,58,42
0,59,17
0,60,37
0,61,27
0,62,49
0,63,49
0,64,25
0,65,6
0,66,42
0,67,13
0,68,8
0,69,23
0,70,22
0,71,32
0,72,2
0,73,43
0,74,34
0,75,12
0,76,30
0,77,48
0,78,33
0,79,50
0,80,2
0,81,50
0,82,18
0,83,29
0,84,37
0,85,8
0,86,47
0,87,27
0,88,34
0,89,2
0,90,12
0,91,21
0,92,30
0,93,36
0,94,43
0,95,15
0,96,23
0,97,11
0,98,2
0,99,23
0,100,30
0,101,44
0,102,19
0,103,47
0,104,8
0,105,28
0,106,50
0,107,37
0,108,47
0,109,25
0,110,40
0,111,34
0,112,33
0,113,39
0,114,34
0,115,33
0,116,10
0,117,14
0,118,31
0,119,20
0,120,28
0,121,20
0,122,28
0,123,1
0,124,6
0,125,44
0,126,43
0,127,42
0,128,27
0,129,15
0,130,7
0,131,3
0,132,32
0,133,15
0,134,46
0,135,9
0,136,22
0,137,48
0,138,7
0,139,1
0,140,20
0,141,27
0,142,13
0,143,5
0,144,47
0,145,16
0,146,7
0,147,49
0,148,30
0,149,8
0,150,33
0,151,3
0,152,17
0,153,9
0,154,14
0,155,26
0,156,20
0,157,34
0,158,45
0,159,29
0,160,17
0,161,17
0,162,46
0,163,22
0,164,20
0,165,40
0,166,33
0,167,35
0,168,1
0,169,17
0,170,48
0,171,49
0,172,23
0,173,4
0,174,34
0,175,19
0,176,43
0,177,50
0,178,27
0,179,10
0,180,43
0,181,25
0,182,20
0,183,36
0,184,38
0,185,42
0,186,33
0,187,41
0,188,2
0,189,19
0,190,4
0,191,14
0,192,48
0,193,48
0,194,45
0,195,36
0,196,36
0,197,27
0,198,43
0,199,33
0,200,10
0,201,45
0,202,37
0,203,7
0,204,29
0,205,1
0,206,32
0,207,11
0,208,11
0,209,29
0,210,36
0,211,31
0,212,45
0,213,32
0,214,22
0,215,14
0,216,5
0,217,44
0,218,39
0,219,50
0,220,27
0,221,24
0,222,34
0,223,23
0,224,37
0,225,17
0,226,21
0,227,31
0,228,24
0,229,48
0,230,1
0,231,30
0,232,11
0,233,44
0,234,22
0,235,43
0,236,32
0,237,11
0,238,14
0,239,42
0,240,5
0,241,25
0,242,36
0,243,30
0,244,29
0,245,27
0,246,5
0,247,12
0,248,49
0,249,6
0,250,47
0,251,8
0,252,43
0,253,20
0,254,12
0,255,1
0,256,8
0,257,12
0,258,1
0,259,32
0,260,1
0,261,29
0,262,11
0,263,18
0,264,43
0,265,27
0,266,16
0,267,30
0,268,20
0,269,20
0,270,20
0,271,8
0,272,50
0,273,50
0,274,47
0,275,44
0,276,44
0,277,1
0,278,50
0,279,21
0,280,2
0,281,10
0,282,13
0,283,47
0,284,46
0,285,1
0,286,1
0,287,44
0,288,44
0,289,45
0,290,46
0,291,47
0,292,20
0,293,29
0,294,47
0,295,44
0,296,25
0,297,33
0,298,37
0,299,42
0,300,10
0,301,44
0,302,17
0,303,5
0,304,50
0,305,32
0,306,1
0,307,12
0,308,12
0,309,35
0,310,7
0,311,14
0,312,19
0,313,48
0,314,17
0,315,38
0,316,21
0,317,47
0,318,34
0,319,26
0,320,49
0,321,38
0,322,11
0,323,4
0,324,28
0,325,12
0,326,24
0,327,17
0,328,41
0,329,23
0,330,43
0,331,20
0,332,23
0,333,9
0,334,27
0,335,9
0,336,48
0,337,47
0,338,18
0,339,7
0,340,22
0,341,39
0,342,16
0,343,36
0,344,12
0,345,39
0,346,47
0,347,11
1,48,49
1,53,32
1,54,47
1,73,34
1,88,38
1,92,43
1,119,36
1,126,34
1,133,44
1,194,33
1,236,15
1,280,38
1,299,41
1,315,18
1,322,13
1,346,22
2,20,44
2,115,13
2,116,19
2,149,19
2,226,14
2,312,10
2,326,33
2,333,46
2,343,38
3,9,39
3,25,9
3,26,44
3,67,14
3,72,18
3,85,34
3,122,16
3,142,33
3,170,5
3,188,20
3,200,23
3,228,15
3,274,31
3,280,27
3,283,31
3,323,30
4,78,38
4,152,26
4,181,48
4,195,49
4,218,42
4,273,45
4,275,23
4,306,26
4,328,36
5,87,43
5,122,20
5,156,27
5,158,10
5,169,10
5,180,8
5,187,37
5,204,10
5,213,40
5,235,9
5,315,17
5,316,22
6,89,19
6,95,37
6,147,46
6,219,20
6,319,34
7,22,39
7,31,6
7,38,40
7,65,23
7,87,40
7,103,31
7,129,2
7,136,14
7,168,7
7,213,15
7,246,36
7,291,36
7,304,31
7,308,28
7,315,44
7,322,29
7,339,25
7,340,14
7,347,50
8,91,38
8,110,47
8,193,4
8,201,23
8,245,8
8,259,35
8,264,35
9,21,23
9,25,14
9,26,22
9,30,19
9,56,7
9,66,45
9,67,7
9,69,36
9,72,37
9,75,44
9,79,13
9,85,4
9,105,48
9,113,1
9,119,15
9,122,27
9,128,28
9,133,32
9,134,2
9,141,2
9,142,20
9,148,36
9,156,33
9,161,22
9,169,14
9,170,44
9,176,50
9,185,37
9,186,1
9,188,12
9,199,45
9,200,15
9,203,23
9,224,9
9,231,22
9,232,30
9,252,37
9,258,45
9,271,14
9,272,24
9,276,43
9,277,35
9,280,13
9,285,8
9,291,18
9,295,46
9,297,23
9,304,47
9,315,45
9,322,35
9,323,19
9,329,38
9,334,13
9,341,14
9,342,19
10,67,34
10,142,8
10,169,9
10,200,23
10,277,2
10,285,3
10,291,46
10,323,1
10,332,45
13,21,48
13,26,32
13,56,10
13,59,20
13,65,41
13,67,31
13,82,41
13,98,17
13,109,32
13,118,12
13,119,49
13,148,43
13,172,7
13,188,20
13,199,40
13,211,10
13,223,12
13,236,44
13,238,16
13,239,20
13,252,10
13,261,31
13,265,37
13,271,23
13,277,37
13,304,34
13,313,8
13,325,1
13,332,40
13,342,34
14,20,19
14,28,9
14,41,40
14,115,40
14,116,26
14,144,20
14,149,1
14,151,29
14,214,25
14,226,16
14,310,31
14,312,11
14,326,34
14,343,2
16,29,38
16,82,6
16,118,35
16,172,2
16,261,11
16,329,40
16,331,11
16,332,26
17,19,19
17,41,11
17,111,15
17,115,31
17,116,46
17,137,18
17,140,8
17,144,33
17,214,11
17,310,48
17,312,24
17,326,2
19,41,14
19,89,41
19,112,13
19,115,25
19,138,12
19,174,6
19,175,35
19,214,11
19,227,37
19,289,14
19,293,45
19,312,32
19,319,2
19,343,44
20,41,6
20,44,8
20,111,32
20,115,4
20,149,9
20,162,2
20,214,15
20,226,49
20,312,16
20,326,29
20,333,46
20,343,20
21,25,16
21,26,47
21,31,2
21,39,37
21,40,8
21,55,30
21,56,21
21,66,2
21,67,32
21,88,49
21,98,16
21,104,30
21,105,48
21,108,13
21,109,42
21,119,45
21,121,33
21,122,46
21,123,8
21,127,29
21,134,42
21,136,45
21,142,17
21,159,41
21,161,26
21,165,30
21,169,7
21,170,41
21,184,50
21,186,50
21,188,26
21,197,7
21,200,45
21,203,42
21,212,26
21,223,27
21,232,31
21,235,4
21,236,35
21,239,29
21,248,8
21,251,49
21,252,11
21,271,28
21,272,4
21,274,39
21,277,19
21,280,8
21,281,23
21,284,29
21,297,36
21,304,14
21,308,42
21,313,13
21,315,47
21,322,16
21,323,20
21,325,41
21,332,14
21,334,27
21,342,35
21,345,37
22,87,28
22,158,36
22,168,3
22,185,45
22,277,21
22,308,41
22,324,13
22,339,27
22,347,31
23,51,46
23,61,6
23,83,46
23,99,36
23,116,30
23,124,45
23,144,3
23,155,28
23,175,5
23,190,33
23,227,47
23,230,9
23,237,15
23,240,27
23,245,12
23,267,21
24,53,13
24,57,9
24,80,3
24,92,28
24,94,30
24,101,48
24,180,50
24,187,6
24,194,34
24,242,11
24,249,28
24,266,37
24,299,4
24,302,16
24,346,16
25,26,2
25,31,40
25,39,33
25,40,33
25,51,2
25,56,38
25,65,10
25,67,23
25,69,19
25,72,35
25,73,31
25,76,33
25,79,35
25,83,27
25,84,40
25,88,22
25,94,45
25,98,41
25,103,7
25,104,50
25,105,4
25,113,15
25,119,42
25,122,13
25,130,37
25,141,26
25,148,18
25,158,23
25,169,15
25,170,49
25,176,23
25,185,23
25,186,18
25,188,35
25,199,39
25,200,43
25,203,28
25,221,46
25,224,48
25,231,41
25,232,37
25,236,22
25,237,44
25,239,44
25,246,10
25,252,20
25,257,15
25,270,23
25,271,11
25,272,11
25,276,30
25,277,5
25,280,26
25,283,29
25,285,45
25,288,42
25,290,5
25,291,24
25,297,25
25,322,35
25,323,46
25,325,7
25,331,8
25,332,36
25,336,17
26,40,12
26,55,18
26,56,23
26,62,14
26,66,4
26,67,23
26,69,39
26,72,44
26,79,49
26,98,48
26,104,7
26,109,38
26,113,46
26,118,42
26,119,9
26,122,23
26,123,38
26,128,19
26,133,11
26,134,24
26,141,32
26,142,37
26,158,40
26,161,19
26,169,47
26,170,15
26,172,2
26,176,30
26,185,29
26,186,2
26,188,32
26,199,43
26,200,4
26,203,14
26,212,34
26,223,4
26,224,35
26,232,27
26,236,18
26,239,6
26,248,29
26,252,46
26,257,42
26,265,26
26,271,48
26,276,9
26,277,30
26,280,33
26,285,6
26,291,47
26,295,5
26,297,47
26,298,16
26,304,27
26,308,1
26,313,6
26,315,2
26,322,4
26,323,41
26,325,49
26,332,3
26,334,21
27,54,45
27,119,8
27,324,14
27,329,5
28,41,13
28,115,46
28,116,34
28,140,40
28,144,13
28,149,26
28,151,23
28,226,28
28,310,10
28,312,25
28,326,5
29,40,17
29,82,27
29,106,33
29,118,5
29,172,26
29,203,46
29,211,44
29,231,3
29,247,6
29,252,21
29,338,3
30,48,32
30,56,6
30,73,33
30,178,42
30,188,27
30,200,13
30,213,5
30,224,12
30,236,23
30,271,3
30,303,2
30,304,3
30,322,29
30,329,32
30,331,48
