nodo_partenza,nodo_arrivo,peso_arco
0,1,20
0,2,49
0,3,32
0,4,26
0,5,46
0,6,17
0,7,43
0,8,28
0,9,33
0,10,10
3,703,13
3,826,34
3,1097,11
3,1287,6
3,1591,29
3,1895,16
3,1896,5
3,1897,40
3,1898,12
3,1899,7
4,144,42
4,258,8
4,491,5
4,1021,46
4,1418,44
4,1669,11
4,1900,32
4,1901,9
4,1902,4
4,1903,5
5,121,38
5,127,26
5,128,27
5,179,28
5,247,14
5,249,20
5,264,7
5,353,16
5,424,35
5,426,16
7,145,7
7,176,25
7,177,18
7,353,6
7,753,17
7,754,21
7,762,17
7,2064,5
7,3002,43
8,520,13
8,665,10
8,852,8
8,1394,43
8,1786,40
8,1842,1
8,1904,14
8,1905,34
8,1906,30
8,1907,39
9,124,23
9,147,17
9,177,49
9,246,13
9,247,35
9,248,43
9,249,42
9,250,31
9,251,20
9,252,29
11,12,27
11,13,24
11,14,20
11,15,29
11,16,26
11,17,4
11,18,16
11,19,18
11,20,33
11,21,28
13,2074,11
14,809,47
15,3,9
15,123,31
15,129,21
15,143,19
15,251,42
15,264,12
15,367,3
15,426,33
15,427,12
15,718,11
17,1050,31
17,2254,48
17,2761,39
17,3147,27
17,3169,34
17,3619,24
17,3893,15
17,4408,5
17,4953,1
20,121,4
20,147,40
20,368,26
20,427,45
20,717,18
20,856,13
20,975,32
20,1908,2
20,1909,37
20,1910,39
21,92,31
21,1702,8
21,1711,38
21,1833,27
21,1916,41
21,1917,35
21,1918,37
21,1919,19
21,1920,3
21,1921,38
22,23,20
22,24,12
22,25,30
22,26,44
22,27,33
22,28,1
22,29,19
22,30,13
22,31,29
22,32,46
25,1022,20
27,901,27
27,960,6
27,1511,40
27,1624,10
27,1836,30
27,1911,44
27,1912,12
27,1913,7
27,1914,21
27,1915,44
28,846,14
28,1516,39
28,1517,30
29,962,49
29,1656,6
29,2201,13
30,3,29
30,5,11
30,8,38
30,121,6
30,124,35
30,126,36
30,145,13
30,174,47
30,249,50
30,424,6
31,124,8
31,637,18
31,870,41
31,1219,17
31,1954,17
31,2237,50
31,2524,4
31,2630,36
31,3637,1
31,3874,26
32,957,48
32,1028,27
32,1199,2
32,1459,25
32,1699,7
32,1700,25
32,1701,11
32,1702,45
32,1703,30
33,34,40
33,35,11
33,36,3
33,37,20
33,38,37
33,39,39
33,40,28
33,41,29
33,42,49
33,43,19
36,3,2
36,123,45
36,126,16
36,145,6
36,174,11
36,179,13
36,247,38
36,249,13
36,264,44
36,424,43
38,725,31
38,1376,9
38,1915,15
38,2002,35
38,2007,49
38,2167,41
38,2168,21
38,2169,32
38,2170,8
39,614,33
39,1378,22
39,1922,49
39,1923,39
39,1924,9
39,1925,26
39,1926,44
39,1927,14
39,1928,36
39,1929,21
43,1604,48
43,1679,50
43,1903,38
43,1930,47
43,1931,31
43,1932,4
43,1933,11
43,1934,1
43,1935,21
43,1936,34
44,45,34
44,46,5
44,47,25
44,48,26
44,49,20
44,50,50
44,51,8
44,52,27
44,53,49
44,54,25
49,101,35
49,338,8
49,2366,26
49,2893,16
49,3065,19
49,3593,14
49,3840,17
49,3998,20
49,3999,37
55,56,32
55,57,22
55,58,45
55,59,24
55,60,12
55,61,13
55,62,4
55,63,20
55,64,23
55,65,15
60,1937,17
60,1938,44
60,1939,40
60,1940,8
60,1941,41
60,1942,2
60,1943,15
60,1944,10
60,1945,1
61,907,10
61,1922,21
61,1992,12
61,1993,36
61,1994,18
61,1995,25
61,1996,25
61,1997,19
61,1998,47
61,1999,38
62,1064,35
62,1194,32
62,1196,30
62,1198,5
62,1959,43
62,1960,5
62,1961,8
62,1962,20
62,1963,5
63,1364,9
63,1950,50
63,1977,7
63,1978,1
63,1979,25
63,1980,15
63,1981,8
63,1982,41
63,1983,27
64,91,41
64,102,37
64,106,20
64,1946,17
64,1947,25
64,1948,2
64,1949,37
64,1950,32
64,1951,14
64,1952,4
65,86,3
65,1954,46
65,2002,10
65,2003,21
65,2004,12
65,2005,35
65,2006,26
65,2007,45
65,2008,42
65,2009,2
66,16,36
66,67,50
66,68,47
66,69,49
66,70,25
66,71,47
66,72,20
66,73,31
66,74,43
66,75,27
67,472,4
67,534,34
67,762,23
67,1123,14
67,2222,9
67,2789,19
67,3052,21
67,3332,33
67,3769,46
67,3956,11
68,152,10
68,219,23
68,346,30
68,965,15
68,1953,36
68,1954,9
68,1955,40
68,1956,36
68,1957,20
68,1958,34
73,717,21
73,1022,34
73,1969,42
73,1970,43
73,1971,20
73,1972,34
73,1973,25
73,1974,36
73,1975,35
73,1976,2
75,190,14
75,219,3
75,262,11
75,1142,23
75,1337,32
75,1964,27
75,1965,31
75,1966,29
