graph_name,algo,running_time,num_nodes,num_edges,density_index
g_BA_125,D,0.028235,125,248,0.015935483870967743
g_BA_250,D,0.079336,250,498,0.007983935742971888
g_BA_500,D,0.258797,500,998,0.003995991983967936
g_BA_1000,D,0.965431,1000,1998,0.001998998998998999
g_BA_2000,D,3.549689,2000,3998,0.0009997498749374687
g_BA_125,F,0.738648,125,248,0.015935483870967743
g_BA_250,F,5.755684,250,498,0.007983935742971888
g_BA_500,F,45.996347,500,998,0.003995991983967936
g_BA_1000,F,386.418595,1000,1998,0.001998998998998999
g_BA_2000,F,3006.225721,2000,3998,0.0009997498749374687
g_ER_p01_125,D,0.363034,125,1561,0.10064516129032258
g_ER_p01_250,D,1.73154,250,6102,0.09800803212851406
g_ER_p01_500,D,9.988951,500,25183,0.10092985971943888
g_ER_p01_1000,D,65.239521,1000,99699,0.0997977977977978
g_ER_p01_2000,D,459.042675,2000,399634,0.09995822911455728
g_ER_p01_125,F,0.770526,125,1561,0.10064516129032258
g_ER_p01_250,F,5.515713,250,6102,0.09800803212851406
g_ER_p01_500,F,45.222652,500,25183,0.10092985971943888
g_ER_p01_1000,F,357.724557,1000,99699,0.0997977977977978
g_ER_p01_2000,F,3109.994222,2000,399634,0.09995822911455728
g_ER_p05_125,D,0.522323,125,7711,0.4974193548387097
g_ER_p05_250,D,3.352614,250,31178,0.5008353413654618
g_ER_p05_500,D,22.440655,500,124841,0.5003607214428858
g_ER_p05_1000,D,219.807528,1000,499065,0.4995635635635636
g_ER_p05_2000,D,1683.613969,2000,1997995,0.49974837418709356
g_ER_p05_125,F,0.706613,125,7711,0.4974193548387097
g_ER_p05_250,F,5.6924,250,31178,0.5008353413654618
g_ER_p05_500,F,52.918881,500,124841,0.5003607214428858
g_ER_p05_1000,F,365.493123,1000,499065,0.4995635635635636
g_ER_p05_2000,F,3040.460928,2000,1997995,0.49974837418709356
g_ER_p1_125,D,1.018367,125,15500,0.9999354838709678
g_ER_p1_250,D,7.016697,250,62250,0.9999839357429718
g_ER_p1_500,D,38.675233,500,249500,0.9999959919839679
g_ER_p1_1000,D,364.881972,1000,999000,0.999998998998999
g_ER_p1_2000,D,2313.132038,2000,3998000,0.9999997498749374
g_ER_p1_125,F,0.702371,125,15500,0.9999354838709678
g_ER_p1_250,F,7.253251,250,62250,0.9999839357429718
g_ER_p1_500,F,49.613789,500,249500,0.9999959919839679
g_ER_p1_1000,F,404.281009,1000,999000,0.999998998998999
g_ER_p1_2000,F,3042.964615,2000,3998000,0.9999997498749374
g_path_125,D,0.043468,125,124,0.007935483870967742
g_path_250,D,0.13099,250,249,0.003983935742971887
g_path_500,D,0.471414,500,499,0.0019959919839679357
g_path_1000,D,1.878038,1000,999,0.000998998998998999
g_path_2000,D,7.195063,2000,1999,0.0004997498749374687
g_path_125,F,0.833986,125,124,0.007935483870967742
g_path_250,F,5.61289,250,249,0.003983935742971887
g_path_500,F,46.826785,500,499,0.0019959919839679357
g_path_1000,F,372.624337,1000,999,0.000998998998998999
g_path_2000,F,3072.770965,2000,1999,0.0004997498749374687
